Year,Title,Director,Cast,Genre
1924,Usha Swapna a.k.a. Usha's Dream,Raghupathy S. Prakasa,,Mythology
1924,Vasant Prabha,,"Probodh Bose, M. Hussain, Kusumkumari, Prabhadevi",Social
1924,Veer Ahir,Homi Master,"K. B. Athavale, Jamna",Legend
1924,Veer Bharat,Jyotish Bannerjee,,Costume
1924,Veer Durgadas a.k.a. Brave Durgadas,Bhagwati Mishra,"Bhagwati Mishra, Jilloo, Asooji",Historical
1924,Vijaya a.k.a. Victory a.k.a. Vijay,Bhagwati Mishra,,
1924,Vikram Charitra a.k.a. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","Tara, Asubhai, Gopalji",Legend
1924,Wages of Sin,,,
1925,Amarsinh Daggar a.k.a. Marwad's Moti,Bhagwati Prasad Mishra,Madanrai Vakil,Historical
1925,Anant Vrat,G. V. Sane,"Bhaurao Datar, Krishna Chauhan",Mythology
1925,Baap Kamai a.k.a. Fortunes And Fools,Kanjibhai Rathod,"Gulab, Gohar, Gangaram, Putlibai, Ermeline, Nandram",Social
1925,Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","Master Vithal, Yakub, Miss Jones, Nanasaheb Phatak, Sayani",Historical
1925,Bhadra Bhamini a.k.a. Test Of Chastity,Nanubhai B. Desai,"Gulab, Nandram, P. R. Joshi, Prabhudas",Costume
1925,Black Thief a.k.a. Kala Chor,Manilal Joshi,"Raja Sandow, Zubeida, Janibabu, Putlibai",Costume
1925,Chalu Zamana a.k.a. Chalti Duniya,,,
1925,Chandrakant a.k.a. Filial Duty,Harshadrai Sakerlal Mehta,"Ermeline, Nandram, Gulab, Haider Shah, Malika, Gangaram",Costume
1925,Chandrarao More,N. D. Sarpotdar,"Dwarki, P. Y. Altekar, Elizer, Baburao Pendharkar, D. N. Potdar",Historical
1925,Charkha a.k.a. The Spinning Wheel a.k.a. Anath Abala,Kanjibhai Rathod,"Ermeline, Madanrai Vakil",Social
1925,Chhatrapati Sambhaji,N. D. Sarpotdar,"D. Billimoria, P. Y. Altekar, Elizer, Jilloobai, Vedi",Historical
1925,Child Widow a.k.a. Bal Vidhva,Behram Vasania,"Harihar Diwana, Heera",Social
1925,Cinema Queen a.k.a. Cinema Ki Rani,Rajendra Raj Gaur,"Mehtab, Master Bachoo, Mumtaz, Shivrani, Madhukar Gupte, Alaknanda, Nurjehan, Sadique, Shuklaji",Social
1925,Devadasi a.k.a. The Bride Of God,Manilal Joshi,"Begum Fatma, Zubeida, Raja Sandow, Shahzadi, K. B. Athavale, Dabir, Prabhakar",Costume
1925,Devi Ahilyabai,Bhagwati Mishra,,Historical religious
1925,Dream Of Life a.k.a. Sansar Swapna,Homi Master,"Bachubhai, Khalil, Moti, Miss Marie",Social
